Hero,Rank,KDA_Ratio,Pick_Rate_Percentage,Win_Rate_Percentage,Eliminations_per_10min,Objective_Elims_per_10min,Damage_per_10min,Healing_per_10min,Deaths_per_10min,Role
Ana,Bronze,4.29,6.05,47.17,9.12,3.75,2483,6819,6.51,Support
Ana,Silver,4.33,5.77,47.27,9.19,3.8,2505,6829,6.52,Support
Ana,Gold,4.45,6.01,47.54,9.37,3.86,2542,6958,6.47,Support
Ana,Platinum,4.7,7.06,47.94,9.6,3.91,2575,7168,6.36,Support
Ana,Diamond,4.87,7.91,48.29,9.78,3.91,2605,7306,6.28,Support
Ana,Master,4.84,8.41,48.03,9.83,3.88,2619,7314,6.26,Support
Ana,Grandmaster,4.88,8.39,48.26,9.89,3.86,2649,7288,6.27,Support
Mercy,Bronze,3.9,7.13,49.43,2.15,0.78,463,8454,6.6,Support
Mercy,Silver,3.97,6.54,49.61,2.2,0.79,472,8506,6.58,Support
Mercy,Gold,4.09,6.47,49.47,2.24,0.8,479,8607,6.5,Support
Mercy,Platinum,4.29,6.87,49.61,2.3,0.8,491,8741,6.37,Support
Mercy,Diamond,4.36,8.09,49.43,2.32,0.79,497,8755,6.31,Support
Mercy,Master,4.29,8.71,49.95,2.33,0.78,495,8730,6.31,Support
Mercy,Grandmaster,4.24,9.9,50.67,2.34,0.79,499,8678,6.34,Support
Cassidy,Bronze,2.25,3.68,45.16,16.99,6.1,7056,,8.57,Damage
Cassidy,Silver,2.27,3.56,45.2,17.06,6.16,7075,,8.55,Damage
Cassidy,Gold,2.33,3.66,45.16,17.43,6.25,7242,,8.51,Damage
Cassidy,Platinum,2.41,4.2,45.28,18,6.32,7495,,8.47,Damage
Cassidy,Diamond,2.47,4.79,45.48,18.45,6.33,7700,,8.45,Damage
Cassidy,Master,2.48,4.92,45.57,18.55,6.28,7747,,8.48,Damage
Cassidy,Grandmaster,2.49,4.9,45.81,18.61,6.23,7783,,8.5,Damage
Genji,Bronze,2.44,4.21,48.02,16.66,5.25,6317,,8.43,Damage
Genji,Silver,2.45,3.96,47.88,16.74,5.3,6357,,8.43,Damage
Genji,Gold,2.53,4.03,48.17,17.19,5.38,6534,,8.37,Damage
Genji,Platinum,2.64,4.93,48.33,17.93,5.47,6818,,8.31,Damage
Genji,Diamond,2.76,5.87,48.64,18.58,5.52,7047,,8.27,Damage
Genji,Master,2.77,6.17,49.1,18.8,5.5,7118,,8.28,Damage
Genji,Grandmaster,2.82,6.22,49.48,18.9,5.46,7133,,8.28,Damage
Kiriko,Bronze,4.87,2.1,48.21,8.32,3.65,2432,7597,5.95,Support
Kiriko,Silver,4.93,2.09,48.69,8.48,3.73,2470,7668,5.92,Support
Kiriko,Gold,5.04,2.26,48.97,8.72,3.79,2533,7810,5.83,Support
Kiriko,Platinum,5.23,2.63,49.56,9.02,3.84,2613,7975,5.7,Support
Kiriko,Diamond,5.36,2.69,49.47,9.26,3.85,2693,8032,5.63,Support
Kiriko,Master,5.32,2.58,49.46,9.31,3.81,2725,7976,5.65,Support
Kiriko,Grandmaster,5.36,2.45,49.79,9.55,3.82,2817,7893,5.67,Support
Moira,Bronze,6.06,4.07,50.61,18.63,8.46,5144,7714,6.67,Support
Moira,Silver,6.17,3.91,50.93,18.83,8.55,5208,7796,6.64,Support
Moira,Gold,6.38,3.78,51.09,19.09,8.62,5264,7979,6.55,Support
Moira,Platinum,6.58,3.9,51.16,19.37,8.65,5326,8187,6.45,Support
Moira,Diamond,6.57,4.05,50.77,19.43,8.61,5347,8236,6.44,Support
Moira,Master,6.44,4.19,51.05,19.33,8.55,5322,8162,6.48,Support
Moira,Grandmaster,6.35,4.32,51.13,19.29,8.51,5325,8090,6.52,Support
Reinhardt,Bronze,2.98,3.7,51.3,15.16,5.52,6594,,7.91,Tank
Reinhardt,Silver,3.03,3.63,51.43,15.29,5.58,6661,,7.89,Tank
Reinhardt,Gold,3.13,3.72,51.32,15.55,5.62,6794,,7.85,Tank
Reinhardt,Platinum,3.19,4.04,51.76,15.85,5.66,6969,,7.83,Tank
Reinhardt,Diamond,3.2,4.51,51.54,15.99,5.62,7048,,7.83,Tank
Reinhardt,Master,3.17,4.28,51.7,15.94,5.58,7014,,7.84,Tank
Reinhardt,Grandmaster,3.13,4.37,51.97,15.92,5.54,6987,,7.85,Tank
Hanzo,Bronze,3.06,3.66,46.37,16.28,5.82,7069,,7.81,Damage
Hanzo,Silver,3.1,3.55,46.45,16.38,5.89,7105,,7.8,Damage
Hanzo,Gold,3.21,3.62,46.75,16.72,5.95,7243,,7.77,Damage
Hanzo,Platinum,3.33,4.09,46.85,17.22,5.99,7444,,7.75,Damage
Hanzo,Diamond,3.35,4.5,46.61,17.58,5.95,7590,,7.77,Damage
Hanzo,Master,3.33,4.6,46.73,17.61,5.89,7604,,7.8,Damage
Hanzo,Grandmaster,3.34,4.63,46.92,17.65,5.84,7612,,7.81,Damage
Widowmaker,Bronze,2.54,3.55,44.65,14.07,3.54,5120,,7.52,Damage
Widowmaker,Silver,2.57,3.41,44.36,14.18,3.55,5163,,7.5,Damage
Widowmaker,Gold,2.63,3.3,44.61,14.53,3.6,5290,,7.5,Damage
Widowmaker,Platinum,2.68,3.97,44.21,15.04,3.65,5456,,7.53,Damage
Widowmaker,Diamond,2.71,4.4,44.97,15.41,3.68,5563,,7.6,Damage
Widowmaker,Master,2.69,4.79,45.3,15.49,3.66,5581,,7.65,Damage
Widowmaker,Grandmaster,2.72,4.78,45.52,15.75,3.67,5651,,7.66,Damage
Soldier: 76,Bronze,2.92,3.13,48.33,19.39,7.68,8118,1406,8.48,Damage
Soldier: 76,Silver,2.98,3.09,48.26,19.53,7.75,8180,1413,8.46,Damage
Soldier: 76,Gold,3.07,3.01,48.12,19.91,7.82,8355,1424,8.38,Damage
Soldier: 76,Platinum,3.18,3.21,48.55,20.35,7.78,8573,1432,8.26,Damage
Soldier: 76,Diamond,3.21,3.58,48.65,20.56,7.7,8683,1436,8.22,Damage
Soldier: 76,Master,3.19,3.61,48.78,20.51,7.62,8664,1438,8.24,Damage
Soldier: 76,Grandmaster,3.17,3.65,49.13,20.45,7.59,8641,1435,8.27,Damage
Zenyatta,Bronze,5.2,3.12,51.81,13.78,5.68,4701,5545,7.3,Support
Zenyatta,Silver,5.25,2.96,51.9,13.89,5.74,4737,5562,7.3,Support
Zenyatta,Gold,5.4,2.96,52.2,14.14,5.81,4827,5615,7.25,Support
Zenyatta,Platinum,5.59,3.35,52.18,14.49,5.85,4960,5690,7.13,Support
Zenyatta,Diamond,5.71,3.73,52.46,14.71,5.84,5043,5708,7.06,Support
Zenyatta,Master,5.66,3.91,52.46,14.71,5.78,5045,5693,7.05,Support
Zenyatta,Grandmaster,5.67,3.9,52.39,14.81,5.73,5091,5655,7.06,Support
Lucio,Bronze,3.75,3.49,52.22,12.54,5.9,3481,7415,7.42,Support
Lucio,Silver,3.81,3.28,52.22,12.67,5.95,3519,7444,7.41,Support
Lucio,Gold,3.93,3.22,52.42,12.92,5.99,3592,7421,7.35,Support
Lucio,Platinum,4.09,3.55,52.27,13.26,5.98,3687,7339,7.28,Support
Lucio,Diamond,4.14,3.9,52.34,13.42,5.95,3740,7245,7.27,Support
Lucio,Master,4.08,4.09,52.59,13.42,5.92,3743,7199,7.28,Support
Lucio,Grandmaster,4.1,4.07,52.49,13.48,5.89,3766,7135,7.29,Support
D.Va,Bronze,6.05,4.64,50.78,20.2,6.65,6644,,5.74,Tank
D.Va,Silver,6.16,4.3,50.76,20.39,6.7,6730,,5.71,Tank
D.Va,Gold,6.31,4.06,50.73,20.64,6.7,6840,,5.66,Tank
D.Va,Platinum,6.52,4.31,50.96,20.96,6.67,6971,,5.58,Tank
D.Va,Diamond,6.62,4.47,50.89,21.06,6.6,7006,,5.53,Tank
D.Va,Master,6.5,4.64,51.31,20.97,6.57,6967,,5.55,Tank
D.Va,Grandmaster,6.58,4.89,51.48,20.98,6.54,6971,,5.55,Tank
Junkrat,Bronze,2.65,2.98,48.14,16.69,6.49,7549,,8.38,Damage
Junkrat,Silver,2.7,2.88,48.27,16.86,6.55,7627,,8.36,Damage
Junkrat,Gold,2.78,2.8,48.2,17.11,6.53,7761,,8.29,Damage
Junkrat,Platinum,2.82,2.86,48.19,17.34,6.44,7883,,8.24,Damage
Junkrat,Diamond,2.81,3.07,48.05,17.38,6.34,7898,,8.25,Damage
Junkrat,Master,2.78,3.08,48.34,17.26,6.32,7829,,8.28,Damage
Junkrat,Grandmaster,2.76,3.18,48.37,17.19,6.31,7792,,8.31,Damage
Ashe,Bronze,2.78,2.12,49.24,16.54,6.24,7662,,7.43,Damage
Ashe,Silver,2.8,2.09,49.24,16.62,6.3,7700,,7.4,Damage
Ashe,Gold,2.86,2.08,49.31,17.01,6.39,7911,,7.35,Damage
Ashe,Platinum,2.98,2.29,49.76,17.57,6.42,8213,,7.3,Damage
Ashe,Diamond,3,2.48,49.77,17.99,6.41,8438,,7.31,Damage
Ashe,Master,3.01,2.42,49.76,17.99,6.34,8450,,7.35,Damage
Ashe,Grandmaster,3,2.42,50.12,18.08,6.31,8495,,7.38,Damage
Tracer,Bronze,2.56,2.33,46.74,17.29,6.27,5944,,8.45,Damage
Tracer,Silver,2.59,2.21,46.79,17.39,6.32,5984,,8.43,Damage
Tracer,Gold,2.68,2.22,46.49,17.7,6.37,6135,,8.37,Damage
Tracer,Platinum,2.75,2.5,46.8,18.24,6.45,6350,,8.34,Damage
Tracer,Diamond,2.79,2.95,47.05,18.64,6.44,6494,,8.33,Damage
Tracer,Master,2.81,3.11,47.17,18.8,6.41,6529,,8.34,Damage
Tracer,Grandmaster,2.89,3.24,48.17,19.09,6.38,6624,,8.31,Damage
Roadhog,Bronze,3.58,2.75,46.48,17.05,6.87,6478,,6.87,Tank
Roadhog,Silver,3.62,2.62,46.2,17.14,6.95,6529,,6.84,Tank
Roadhog,Gold,3.77,2.63,46.39,17.55,7.08,6680,,6.77,Tank
Roadhog,Platinum,3.89,2.92,46.61,18.11,7.1,6906,,6.69,Tank
Roadhog,Diamond,3.98,3.37,46.93,18.53,7.04,7054,,6.66,Tank
Roadhog,Master,3.94,3.25,47.06,18.4,6.96,7001,,6.7,Tank
Roadhog,Grandmaster,3.94,3.27,47.2,18.44,6.93,7018,,6.7,Tank
Zarya,Bronze,4.67,2.41,48.62,18.76,8.28,7216,,6.46,Tank
Zarya,Silver,4.75,2.35,48.65,18.89,8.39,7268,,6.45,Tank
Zarya,Gold,4.89,2.4,48.52,19.24,8.48,7407,,6.39,Tank
Zarya,Platinum,5.04,2.66,49.05,19.73,8.51,7612,,6.32,Tank
Zarya,Diamond,5.17,2.89,49.13,20.08,8.48,7753,,6.26,Tank
Zarya,Master,5.12,2.93,49.59,20.05,8.41,7742,,6.27,Tank
Zarya,Grandmaster,5.16,2.84,49.48,20.12,8.38,7795,,6.26,Tank
Reaper,Bronze,2.93,2.24,49.66,19.1,7.38,7070,,8.38,Damage
Reaper,Silver,2.97,2.15,49.75,19.34,7.49,7177,,8.33,Damage
Reaper,Gold,3.07,2.1,49.74,19.81,7.58,7411,,8.28,Damage
Reaper,Platinum,3.16,2.27,50.03,20.3,7.65,7651,,8.25,Damage
Reaper,Diamond,3.13,2.4,49.83,20.31,7.56,7678,,8.28,Damage
Reaper,Master,3.08,2.37,49.66,20.08,7.5,7561,,8.32,Damage
Reaper,Grandmaster,3.03,2.39,49.82,19.87,7.44,7456,,8.35,Damage
Baptiste,Bronze,4.11,1.74,47.02,10.57,4.69,3467,7464,6.86,Support
Baptiste,Silver,4.15,1.68,47.23,10.68,4.76,3498,7546,6.83,Support
Baptiste,Gold,4.35,1.77,47.88,10.86,4.8,3552,7723,6.74,Support
Baptiste,Platinum,4.55,1.86,48.02,11.21,4.83,3661,7950,6.59,Support
Baptiste,Diamond,4.73,2.02,48.11,11.46,4.84,3750,8080,6.49,Support
Baptiste,Master,4.68,2.09,48.1,11.61,4.84,3817,8039,6.5,Support
Baptiste,Grandmaster,4.75,2.08,48.43,11.85,4.85,3928,8005,6.5,Support
Orisa,Bronze,3.62,1.89,47.67,17.06,8.19,7029,,7.17,Tank
Orisa,Silver,3.68,1.85,47.77,17.25,8.27,7127,,7.16,Tank
Orisa,Gold,3.75,1.81,47.63,17.49,8.29,7276,,7.1,Tank
Orisa,Platinum,3.87,1.84,47.7,17.77,8.26,7407,,7.03,Tank
Orisa,Diamond,3.85,1.87,47.55,17.81,8.19,7394,,7.02,Tank
Orisa,Master,3.8,1.86,47.87,17.62,8.16,7284,,7.05,Tank
Orisa,Grandmaster,3.75,1.93,48.14,17.57,8.17,7231,,7.07,Tank
Pharah,Bronze,3.13,2.09,48.09,18.33,6.44,7690,,8.24,Damage
Pharah,Silver,3.22,2.02,48.16,18.54,6.51,7766,,8.22,Damage
Pharah,Gold,3.31,2.02,48.5,19.09,6.61,7975,,8.21,Damage
Pharah,Platinum,3.33,2.16,48.72,19.61,6.66,8200,,8.22,Damage
Pharah,Diamond,3.32,2.28,48.52,19.76,6.61,8274,,8.24,Damage
Pharah,Master,3.28,2.35,48.82,19.56,6.53,8199,,8.25,Damage
Pharah,Grandmaster,3.26,2.32,48.58,19.49,6.5,8168,,8.25,Damage
Sigma,Bronze,4.86,1.73,51.28,17.98,8.42,8381,,5.61,Tank
Sigma,Silver,4.92,1.7,51.53,18.18,8.51,8468,,5.6,Tank
Sigma,Gold,5.05,1.73,51.48,18.42,8.5,8600,,5.55,Tank
Sigma,Platinum,5.19,1.83,51.61,18.75,8.4,8781,,5.53,Tank
Sigma,Diamond,5.24,1.95,51.51,18.94,8.27,8885,,5.52,Tank
Sigma,Master,5.19,1.92,51.72,18.91,8.23,8860,,5.53,Tank
Sigma,Grandmaster,5.21,1.93,51.92,18.95,8.18,8890,,5.52,Tank
Doomfist,Bronze,3.01,1.46,49.12,16.42,5.34,6307,,9.19,Tank
Doomfist,Silver,3.08,1.42,49.17,16.4,5.4,6351,,9.14,Tank
Doomfist,Gold,3.17,1.56,49.3,16.7,5.46,6500,,9.06,Tank
Doomfist,Platinum,3.37,1.86,49.65,17.29,5.48,6703,,9,Tank
Doomfist,Diamond,3.46,2.24,49.91,17.77,5.46,6825,,9.02,Tank
Doomfist,Master,3.46,2.14,50.2,17.89,5.38,6837,,9.05,Tank
Doomfist,Grandmaster,3.61,2.12,50.61,18.17,5.35,6914,,9.04,Tank
Brigitte,Bronze,4.26,1.74,55.94,13.23,5.29,3591,6917,7.86,Support
Brigitte,Silver,4.35,1.66,55.94,13.42,5.36,3653,6974,7.87,Support
Brigitte,Gold,4.46,1.64,56.01,13.69,5.42,3737,7076,7.82,Support
Brigitte,Platinum,4.63,1.79,56.08,13.95,5.45,3817,7233,7.69,Support
Brigitte,Diamond,4.69,2,56.22,14.03,5.43,3841,7320,7.59,Support
Brigitte,Master,4.67,2.02,56.32,13.98,5.39,3829,7326,7.55,Support
Brigitte,Grandmaster,4.72,2.1,56.36,13.97,5.36,3831,7336,7.5,Support
Mei,Bronze,3.83,1.79,49.47,16.77,7.17,5487,,7.42,Damage
Mei,Silver,3.93,1.75,49.78,16.99,7.28,5568,,7.4,Damage
Mei,Gold,4.02,1.67,49.56,17.22,7.28,5661,,7.37,Damage
Mei,Platinum,4.04,1.75,49.29,17.48,7.22,5781,,7.33,Damage
Mei,Diamond,4.03,1.82,49.45,17.52,7.11,5800,,7.33,Damage
Mei,Master,3.94,1.9,49.38,17.36,7.06,5736,,7.34,Damage
Mei,Grandmaster,3.92,2.04,49.93,17.27,7.05,5690,,7.36,Damage
Winston,Bronze,3.81,1.54,49.41,18.67,6.86,6310,,7.85,Tank
Winston,Silver,3.87,1.49,49.13,18.78,6.91,6365,,7.85,Tank
Winston,Gold,4,1.55,49.44,19.13,6.96,6505,,7.75,Tank
Winston,Platinum,4.17,1.7,49.18,19.59,6.92,6682,,7.63,Tank
Winston,Diamond,4.24,2.05,49.86,19.85,6.85,6781,,7.58,Tank
Winston,Master,4.24,1.89,50.32,19.84,6.77,6775,,7.59,Tank
Winston,Grandmaster,4.27,1.89,50.52,19.89,6.74,6821,,7.57,Tank
Bastion,Bronze,2.93,1.48,48.53,18.93,7.88,8664,,8.32,Damage
Bastion,Silver,2.98,1.46,48.51,19.14,7.96,8766,,8.3,Damage
Bastion,Gold,3.08,1.37,48.92,19.44,7.99,8954,,8.24,Damage
Bastion,Platinum,3.15,1.42,48.84,19.67,7.96,9090,,8.19,Damage
Bastion,Diamond,3.16,1.51,48.74,19.74,7.89,9122,,8.18,Damage
Bastion,Master,3.14,1.51,48.82,19.6,7.8,9050,,8.21,Damage
Bastion,Grandmaster,3.12,1.53,48.8,19.53,7.79,8990,,8.23,Damage
Sombra,Bronze,4.24,1.84,43.95,14.61,5.28,4279,,6.88,Damage
Sombra,Silver,4.33,1.75,44.12,14.76,5.33,4315,,6.84,Damage
Sombra,Gold,4.54,1.71,44.29,15.09,5.41,4430,,6.74,Damage
Sombra,Platinum,4.71,1.8,44.27,15.46,5.48,4578,,6.66,Damage
Sombra,Diamond,4.75,2,44.37,15.7,5.47,4666,,6.65,Damage
Sombra,Master,4.7,2.03,44.24,15.66,5.44,4672,,6.64,Damage
Sombra,Grandmaster,4.69,2.09,44.7,15.62,5.42,4656,,6.69,Damage
Wrecking Ball,Bronze,4.48,1.22,50.77,15.67,6.94,6266,,6.96,Tank
Wrecking Ball,Silver,4.55,1.17,50.73,15.74,6.98,6321,,6.94,Tank
Wrecking Ball,Gold,4.74,1.2,50.64,15.99,7.03,6461,,6.8,Tank
Wrecking Ball,Platinum,5.01,1.39,51.1,16.42,7.01,6664,,6.68,Tank
Wrecking Ball,Diamond,5.24,1.69,51.37,16.82,6.96,6804,,6.58,Tank
Wrecking Ball,Master,5.29,1.62,51.46,17.02,6.92,6851,,6.55,Tank
Wrecking Ball,Grandmaster,5.52,1.58,51.82,17.21,6.89,6889,,6.54,Tank
